,date,open,close,high,low,volume,code
356,2020-08-19,52.11,50.09,52.2,49.99,249263.0,300014
357,2020-08-20,49.09,48.58,50.08,48.4,250084.0,300014
358,2020-08-21,49.15,49.62,51.08,49.15,252280.0,300014
359,2020-08-24,50.46,52.64,53.65,49.66,429230.0,300014
360,2020-08-25,53.0,53.88,56.58,52.8,506440.0,300014
361,2020-08-26,54.4,50.43,54.49,49.8,453729.0,300014
362,2020-08-27,50.7,50.12,51.2,48.42,318002.0,300014
363,2020-08-28,49.8,50.48,50.8,48.9,215052.0,300014
364,2020-08-31,50.65,49.01,51.09,49.0,299997.0,300014
365,2020-09-01,48.9,49.74,50.28,48.1,286101.0,300014
366,2020-09-02,49.7,50.36,51.19,49.2,230943.0,300014
367,2020-09-03,50.4,51.84,52.89,50.01,402307.0,300014
368,2020-09-04,50.3,50.4,50.69,49.3,247806.0,300014
369,2020-09-07,50.26,47.97,50.52,47.51,311767.0,300014
370,2020-09-08,47.63,46.47,48.18,45.6,272048.0,300014
371,2020-09-09,45.5,45.08,45.68,43.7,287782.0,300014
372,2020-09-10,45.7,44.79,47.14,44.52,236542.0,300014
373,2020-09-11,44.82,46.82,47.2,44.82,232652.0,300014
374,2020-09-14,47.33,48.36,49.05,47.0,271551.0,300014
375,2020-09-15,48.9,48.8,49.44,48.2,205510.0,300014
376,2020-09-16,49.1,48.69,49.36,48.2,143851.0,300014
377,2020-09-17,48.69,49.49,50.44,47.68,256850.0,300014
378,2020-09-18,48.95,49.4,49.89,48.6,145611.0,300014
379,2020-09-21,49.86,49.41,51.2,49.41,180596.0,300014
380,2020-09-22,49.2,48.12,49.2,48.0,119908.0,300014
381,2020-09-23,48.2,49.6,49.8,47.35,195321.0,300014
382,2020-09-24,49.48,47.33,49.48,47.28,171577.0,300014
383,2020-09-25,48.5,49.96,50.4,48.01,345699.0,300014
384,2020-09-28,50.15,49.58,50.45,49.07,143920.0,300014
385,2020-09-29,49.79,50.13,50.58,49.0,189213.0,300014
386,2020-09-30,50.48,49.5,50.81,49.26,161471.0,300014
387,2020-10-09,50.71,50.86,52.26,50.47,309352.0,300014
388,2020-10-12,51.56,54.72,55.0,51.56,488312.0,300014
389,2020-10-13,54.0,55.16,55.6,53.63,259449.0,300014
390,2020-10-14,55.2,54.3,56.18,54.2,224149.0,300014
391,2020-10-15,55.2,54.3,55.58,53.9,181134.0,300014
392,2020-10-16,55.7,54.92,57.16,54.16,367686.0,300014
393,2020-10-19,54.6,53.24,55.49,53.0,212395.0,300014
394,2020-10-20,53.79,55.97,56.25,53.0,322935.0,300014
395,2020-10-21,55.5,55.07,56.2,54.01,203061.0,300014
396,2020-10-22,54.3,55.05,55.29,53.76,133713.0,300014
397,2020-10-23,55.0,53.16,55.66,52.88,158705.0,300014
398,2020-10-26,52.04,54.32,55.0,51.35,183314.0,300014
399,2020-10-27,55.6,55.8,56.62,54.89,261842.0,300014
400,2020-10-28,56.0,57.2,57.96,55.61,290321.0,300014
401,2020-10-29,54.98,53.55,54.98,51.56,652198.0,300014
402,2020-10-30,53.35,53.23,53.35,51.9,324250.0,300014
403,2020-11-02,52.6,53.9,54.38,52.0,256099.0,300014
404,2020-11-03,54.49,53.8,55.6,53.03,217329.0,300014
405,2020-11-04,55.11,57.2,58.68,54.61,553659.0,300014
406,2020-11-05,58.07,61.38,62.45,58.07,670679.0,300014
407,2020-11-06,62.99,61.8,63.69,60.34,500912.0,300014
408,2020-11-09,62.0,62.69,63.98,60.6,458727.0,300014
409,2020-11-10,62.29,63.01,65.36,61.16,400529.0,300014
410,2020-11-11,63.0,63.9,66.77,62.4,457380.0,300014
411,2020-11-12,62.66,63.63,65.37,62.66,253748.0,300014
412,2020-11-13,65.01,67.4,67.52,64.4,488193.0,300014
413,2020-11-16,66.3,66.7,67.26,64.01,379803.0,300014
414,2020-11-17,67.5,63.82,68.36,62.6,386595.0,300014
415,2020-11-18,63.89,61.3,64.5,60.59,428924.0,300014
416,2020-11-19,61.72,63.0,63.09,60.52,260316.0,300014
417,2020-11-20,63.12,65.4,66.38,63.12,314779.0,300014
418,2020-11-23,67.0,68.01,69.44,65.55,316116.0,300014
419,2020-11-24,69.5,67.67,70.49,67.16,263730.0,300014
420,2020-11-25,68.0,67.59,68.51,66.8,177536.0,300014
421,2020-11-26,67.19,65.76,67.95,63.8,241099.0,300014
422,2020-11-27,65.77,65.79,66.97,64.44,152799.0,300014
423,2020-11-30,65.58,64.5,66.0,63.7,214071.0,300014
424,2020-12-01,64.51,66.1,66.45,64.25,177266.0,300014
425,2020-12-02,66.0,62.18,66.0,61.4,480382.0,300014
426,2020-12-03,61.62,62.16,62.8,60.62,240201.0,300014
427,2020-12-04,62.08,62.24,62.74,60.98,252648.0,300014
428,2020-12-07,62.26,61.16,64.29,60.97,338749.0,300014
429,2020-12-08,61.6,63.71,64.9,61.6,381012.0,300014
430,2020-12-09,65.0,66.46,67.5,64.69,441596.0,300014
431,2020-12-10,67.2,66.02,67.24,64.2,299063.0,300014
